STT,Tên Shop,Địa Chỉ Shop,Link Website / Link Shop,Tên Sản Phẩm,Giá Cả,Mô Tả Sản Phẩm,Link Hình Ảnh,Link Sản Phẩm (Chi Tiết)
11,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Trà Sâm Dứa Vigift  Đặc Sản Đà Nẵng Làm Quà_Thanh Mát Vị Dứa,72.000 ₫,Đặc sản chất lượng - Trà Sâm Dứa Vigift  Đặc Sản Đà Nẵng Làm Quà_Thanh Mát Vị Dứa,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8n8r4u1v4w74a,https://shopee.vn/Trà-Sâm-Dứa-Vigift-Đặc-Sản-Đà-Nẵng-Làm-Quà_Thanh-Mát-Vị-Dứa-i.428879509.20714125239?extraParams=%7B%22display_model_id%22%3A222380381557%2C%22model_selection_logic%22%3A3%7D
12,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Mực Xé Sợi Ăn Liền Vigift Đặc Sản Đà Nẵng Làm Quà_Vị Ngọt Nguyên Bản,98.000 ₫,Đặc sản chất lượng - Mực Xé Sợi Ăn Liền Vigift Đặc Sản Đà Nẵng Làm Quà_Vị Ngọt Nguyên Bản,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8n8mcec8tacc3,https://shopee.vn/Mực-Xé-Sợi-Ăn-Liền-Vigift-Đặc-Sản-Đà-Nẵng-Làm-Quà_Vị-Ngọt-Nguyên-Bản-i.428879509.5986912878?extraParams=%7B%22display_model_id%22%3A147591068540%2C%22model_selection_logic%22%3A3%7D
13,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Bánh Dừa Nướng Đặc Sản Miền Trung Đồ Ăn Vặt Giòn Thơm Cực Ngon,30.000 ₫,Đặc sản chất lượng - Bánh Dừa Nướng Đặc Sản Miền Trung Đồ Ăn Vặt Giòn Thơm Cực Ngon,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8oherskvds2ff,https://shopee.vn/Bánh-Dừa-Nướng-Đặc-Sản-Miền-Trung-Đồ-Ăn-Vặt-Giòn-Thơm-Cực-Ngon-i.428879509.10194286846?extraParams=%7B%22display_model_id%22%3A128759695175%2C%22model_selection_logic%22%3A3%7D
14,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Mực Cán Cay Vigift Đặc Sản Đà Nẵng Làm Quà_Ngọt Mềm Từng Thớ Thịt,81.000 ₫,Đặc sản chất lượng - Mực Cán Cay Vigift Đặc Sản Đà Nẵng Làm Quà_Ngọt Mềm Từng Thớ Thịt,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8n4fysed75z3a,https://shopee.vn/Mực-Cán-Cay-Vigift-Đặc-Sản-Đà-Nẵng-Làm-Quà_Ngọt-Mềm-Từng-Thớ-Thịt-i.428879509.2983707386?extraParams=%7B%22display_model_id%22%3A217072240683%2C%22model_selection_logic%22%3A3%7D
15,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Cá Bò Da Cán Vigift Đặc Sản Đà Nẵng Làm Quà_Ngọt Mềm Nguyên Vị,79.000 ₫,Đặc sản chất lượng - Cá Bò Da Cán Vigift Đặc Sản Đà Nẵng Làm Quà_Ngọt Mềm Nguyên Vị,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8lq1peelo4u84,https://shopee.vn/Cá-Bò-Da-Cán-Vigift-Đặc-Sản-Đà-Nẵng-Làm-Quà_Ngọt-Mềm-Nguyên-Vị-i.428879509.21221393016?extraParams=%7B%22display_model_id%22%3A257206445340%2C%22model_selection_logic%22%3A3%7D
16,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Bánh Khô Mè Gạo Lứt 250g - Đặc Sản Đà Nẵng Đồ Ăn Vặt Giòn Xốp Thơm Vị Mè,97.000 ₫,Đặc sản chất lượng - Bánh Khô Mè Gạo Lứt 250g - Đặc Sản Đà Nẵng Đồ Ăn Vặt Giòn Xốp Thơm Vị Mè,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8ohc3pfhf7of9,https://shopee.vn/Bánh-Khô-Mè-Gạo-Lứt-250g-Đặc-Sản-Đà-Nẵng-Đồ-Ăn-Vặt-Giòn-Xốp-Thơm-Vị-Mè-i.428879509.20018378456?extraParams=%7B%22display_model_id%22%3A204624498639%2C%22model_selection_logic%22%3A3%7D
17,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Trà Hoa Lài Vigift Đặc Sản Đà Nẵng Làm Quà_Thanh Mát Hương Lài,72.000 ₫,Đặc sản chất lượng - Trà Hoa Lài Vigift Đặc Sản Đà Nẵng Làm Quà_Thanh Mát Hương Lài,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8n8qp052kxu28,https://shopee.vn/Trà-Hoa-Lài-Vigift-Đặc-Sản-Đà-Nẵng-Làm-Quà_Thanh-Mát-Hương-Lài-i.428879509.17976592739?extraParams=%7B%22display_model_id%22%3A250519797563%2C%22model_selection_logic%22%3A3%7D
18,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Hạt Macca Sấy Vigift  Đặc Sản Đà Nẵng Làm Quà - Thơm Ngon Béo Ngậy,206.000 ₫,Đặc sản chất lượng - Hạt Macca Sấy Vigift  Đặc Sản Đà Nẵng Làm Quà - Thơm Ngon Béo Ngậy,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8lovh719yem69,https://shopee.vn/Hạt-Macca-Sấy-Vigift-Đặc-Sản-Đà-Nẵng-Làm-Quà-Thơm-Ngon-Béo-Ngậy-i.428879509.9247028869?extraParams=%7B%22display_model_id%22%3A222624527027%2C%22model_selection_logic%22%3A3%7D
19,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Cá Chỉ Vàng Khô Nướng Vigift 500g  Đặc Sản Đà Nẵng Làm Quà - Ngọt Thịt Dai Dai,250.000 ₫,Đặc sản chất lượng - Cá Chỉ Vàng Khô Nướng Vigift 500g  Đặc Sản Đà Nẵng Làm Quà - Ngọt Thịt Dai Dai,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8og5ojsajyad9,https://shopee.vn/Cá-Chỉ-Vàng-Khô-Nướng-Vigift-500g-Đặc-Sản-Đà-Nẵng-Làm-Quà-Ngọt-Thịt-Dai-Dai-i.428879509.8154401497?extraParams=%7B%22display_model_id%22%3A110198382210%2C%22model_selection_logic%22%3A3%7D
20,Vigift - Đặc Sản Quà Đà Nẵng,Thành phố Đà Nẵng,https://shopee.vn/search?shop=428879509,Mực Xé Giòn Ăn Liền Vigift Đặc Sản Đà Nẵng Làm Quà_Giòn Tan Ngọt Mực,66.000 ₫,Đặc sản chất lượng - Mực Xé Giòn Ăn Liền Vigift Đặc Sản Đà Nẵng Làm Quà_Giòn Tan Ngọt Mực,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8n8k8zclvnm32,https://shopee.vn/Mực-Xé-Giòn-Ăn-Liền-Vigift-Đặc-Sản-Đà-Nẵng-Làm-Quà_Giòn-Tan-Ngọt-Mực-i.428879509.8746836831?extraParams=%7B%22display_model_id%22%3A252206444538%2C%22model_selection_logic%22%3A3%7D
21,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Sổ gỗ lưu niệm Việt Nam chất liệu Gỗ A6 - Vietnam Handmade Notebook, Casfa Design",45.900 ₫,"Đặc sản chất lượng - Sổ gỗ lưu niệm Việt Nam chất liệu Gỗ A6 - Vietnam Handmade Notebook, Casfa Design",https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mlxn0o5d5sec91,https://shopee.vn/Sổ-gỗ-lưu-niệm-Việt-Nam-chất-liệu-Gỗ-A6-Vietnam-Handmade-Notebook-Casfa-Design-i.104604642.41628394871?extraParams=%7B%22display_model_id%22%3A410495546794%2C%22model_selection_logic%22%3A3%7D
22,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Sổ gỗ in-khắc hoạ tiết địa danh du lịch nổi tiếng ở việt nam Casfa Design, A6",49.770 ₫,"Đặc sản chất lượng - Sổ gỗ in-khắc hoạ tiết địa danh du lịch nổi tiếng ở việt nam Casfa Design, A6",https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmpknbkk5wjnb8,https://shopee.vn/Sổ-gỗ-in-khắc-hoạ-tiết-địa-danh-du-lịch-nổi-tiếng-ở-việt-nam-Casfa-Design-A6-i.104604642.29194530506?extraParams=%7B%22display_model_id%22%3A365735381597%2C%22model_selection_logic%22%3A3%7D
23,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Móc Khóa Nón Lá – Lưu Niệm Việt Nam Nhỏ Gọn, Ý Nghĩa & Độc Đáo",22.900 ₫,"Đặc sản chất lượng - Móc Khóa Nón Lá – Lưu Niệm Việt Nam Nhỏ Gọn, Ý Nghĩa & Độc Đáo",https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi610mf09url70,https://shopee.vn/Móc-Khóa-Nón-Lá-–-Lưu-Niệm-Việt-Nam-Nhỏ-Gọn-Ý-Nghĩa-Độc-Đáo-i.104604642.44752756067?extraParams=%7B%22display_model_id%22%3A302235333720%2C%22model_selection_logic%22%3A3%7D
24,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Thiệp Postcard bưu thiếp Việt Nam, phong cách vintage quà lưu niệm Casfa Design",18.850 ₫,"Đặc sản chất lượng - Thiệp Postcard bưu thiếp Việt Nam, phong cách vintage quà lưu niệm Casfa Design",https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mequz53paadjad,https://shopee.vn/Thiệp-Postcard-bưu-thiếp-Việt-Nam-phong-cách-vintage-quà-lưu-niệm-Casfa-Design-i.104604642.26640106759?extraParams=%7B%22display_model_id%22%3A249221460609%2C%22model_selection_logic%22%3A3%7D
25,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Sticker dán mặt CÓ CÁN BÓNG, decal cờ đỏ sao vàng, tem dán lá cờ Việt Nam, cờ tổ quốc dịp 30/4 2/9",18.850 ₫,"Đặc sản chất lượng - Sticker dán mặt CÓ CÁN BÓNG, decal cờ đỏ sao vàng, tem dán lá cờ Việt Nam, cờ tổ quốc dịp 30/4 2/9",https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mn8dxhtje9s8b4,https://shopee.vn/Sticker-dán-mặt-CÓ-CÁN-BÓNG-decal-cờ-đỏ-sao-vàng-tem-dán-lá-cờ-Việt-Nam-cờ-tổ-quốc-dịp-30-4-2-9-i.104604642.50559107200?extraParams=%7B%22display_model_id%22%3A292550745723%2C%22model_selection_logic%22%3A3%7D
26,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Sticker Lá Cờ Việt Nam Casfa Design – Kháng Nước, Dán Mọi Mặt Phẳng, Kích Thước A6",14.500 ₫,"Đặc sản chất lượng - Sticker Lá Cờ Việt Nam Casfa Design – Kháng Nước, Dán Mọi Mặt Phẳng, Kích Thước A6",https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mgyl28q0zll79b,https://shopee.vn/Sticker-Lá-Cờ-Việt-Nam-Casfa-Design-–-Kháng-Nước-Dán-Mọi-Mặt-Phẳng-Kích-Thước-A6-i.104604642.52351074340?extraParams=%7B%22display_model_id%22%3A259081526509%2C%22model_selection_logic%22%3A3%7D
27,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam, Casfa Design",45.820 ₫,"Đặc sản chất lượng - Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam, Casfa Design",https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mlxn1cy43sp0fe,https://shopee.vn/Sổ-Gỗ-A6-Handmade-Quà-Tặng-Lưu-Niệm-Việt-Nam-Casfa-Design-i.104604642.56755433788?extraParams=%7B%22display_model_id%22%3A425495584697%2C%22model_selection_logic%22%3A3%7D
28,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,Vòng Tay Cờ Đỏ Sao Vàng – Tự Hào Người Việt Nam | CASFA DESIGN,50.490 ₫,Đặc sản chất lượng - Vòng Tay Cờ Đỏ Sao Vàng – Tự Hào Người Việt Nam | CASFA DESIGN,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mgyl370rgmbu08,https://shopee.vn/Vòng-Tay-Cờ-Đỏ-Sao-Vàng-–-Tự-Hào-Người-Việt-Nam-CASFA-DESIGN-i.104604642.45001132648?extraParams=%7B%22display_model_id%22%3A272141464659%2C%22model_selection_logic%22%3A3%7D
29,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,"Sổ lưu niệm Việt Nam chất liệu Gỗ A6 - Vietnam Handmade Notebook, Qùa Tặng Lưu Giữ Kỷ Niệm",45.900 ₫,"Đặc sản chất lượng - Sổ lưu niệm Việt Nam chất liệu Gỗ A6 - Vietnam Handmade Notebook, Qùa Tặng Lưu Giữ Kỷ Niệm",https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mcrkz51lifj6df,https://shopee.vn/Sổ-lưu-niệm-Việt-Nam-chất-liệu-Gỗ-A6-Vietnam-Handmade-Notebook-Qùa-Tặng-Lưu-Giữ-Kỷ-Niệm-i.104604642.29089295510?extraParams=%7B%22display_model_id%22%3A380441202211%2C%22model_selection_logic%22%3A3%7D
30,Casfa Design,Thành phố Hồ Chí Minh,https://shopee.vn/search?shop=104604642,Móc Khoá Gỗ Lưu Niệm Aó Dài - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,24.650 ₫,Đặc sản chất lượng - Móc Khoá Gỗ Lưu Niệm Aó Dài - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-macwfgqdwyc806,https://shopee.vn/Móc-Khoá-Gỗ-Lưu-Niệm-Aó-Dài-Móc-Khóa-Gỗ-Handmade-Quà-Tặng-Lưu-Niệm-Việt-Nam-i.104604642.41652590121?extraParams=%7B%22display_model_id%22%3A275213560829%2C%22model_selection_logic%22%3A3%7D
31,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Combo 3 Bánh Tráng Ớt Tây Ninh Tinh Nguyên (200gx3gói),58.000 ₫,Đặc sản chất lượng - Combo 3 Bánh Tráng Ớt Tây Ninh Tinh Nguyên (200gx3gói),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpbo0jc8a0b271,https://shopee.vn/Combo-3-Bánh-Tráng-Ớt-Tây-Ninh-Tinh-Nguyên-(200gx3gói)-i.191855774.8475215625?extraParams=%7B%22display_model_id%22%3A26657840173%2C%22model_selection_logic%22%3A3%7D
32,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Xốt Me Cay DellyCook (300g),32.830 ₫,Đặc sản chất lượng - Xốt Me Cay DellyCook (300g),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd6e4jpabya31,https://shopee.vn/Xốt-Me-Cay-DellyCook-(300g)-i.191855774.12966025119?extraParams=%7B%22display_model_id%22%3A86451046572%2C%22model_selection_logic%22%3A3%7D
33,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Bánh Tráng Ớt Tây Ninh Tinh Nguyên (200g),21.500 ₫,Đặc sản chất lượng - Bánh Tráng Ớt Tây Ninh Tinh Nguyên (200g),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd610kd83d85a,https://shopee.vn/Bánh-Tráng-Ớt-Tây-Ninh-Tinh-Nguyên-(200g)-i.191855774.5031121622?extraParams=%7B%22display_model_id%22%3A52102566921%2C%22model_selection_logic%22%3A3%7D
34,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Bánh Tráng Trộn Bơ Tỏi Fadely (50g),24.000 ₫,Đặc sản chất lượng - Bánh Tráng Trộn Bơ Tỏi Fadely (50g),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd6mwvrhs76db,https://shopee.vn/Bánh-Tráng-Trộn-Bơ-Tỏi-Fadely-(50g)-i.191855774.22280964810?extraParams=%7B%22display_model_id%22%3A225654771187%2C%22model_selection_logic%22%3A3%7D
35,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Muối Tôm Tây Ninh Tinh Nguyên (90g),18.130 ₫,Đặc sản chất lượng - Muối Tôm Tây Ninh Tinh Nguyên (90g),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd60nftj9jh07,https://shopee.vn/Muối-Tôm-Tây-Ninh-Tinh-Nguyên-(90g)-i.191855774.6228569238?extraParams=%7B%22display_model_id%22%3A52102593894%2C%22model_selection_logic%22%3A3%7D
36,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Muối Tôm Siêu Cay Tây Ninh Tinh Nguyên (95g),21.800 ₫,Đặc sản chất lượng - Muối Tôm Siêu Cay Tây Ninh Tinh Nguyên (95g),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd5tcmdrrb6b9,https://shopee.vn/Muối-Tôm-Siêu-Cay-Tây-Ninh-Tinh-Nguyên-(95g)-i.191855774.7759862969?extraParams=%7B%22display_model_id%22%3A31584151496%2C%22model_selection_logic%22%3A3%7D
37,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Combo 5 Bánh Tráng Ớt Tây Ninh Tinh Nguyên (100gx5gói),57.600 ₫,Đặc sản chất lượng - Combo 5 Bánh Tráng Ớt Tây Ninh Tinh Nguyên (100gx5gói),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd5s6vp74lr22,https://shopee.vn/Combo-5-Bánh-Tráng-Ớt-Tây-Ninh-Tinh-Nguyên-(100gx5gói)-i.191855774.7664968250?extraParams=%7B%22display_model_id%22%3A61964333086%2C%22model_selection_logic%22%3A3%7D
38,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Muối Tiêu Lá Chanh Tây Ninh Tinh Nguyên (90g),19.500 ₫,Đặc sản chất lượng - Muối Tiêu Lá Chanh Tây Ninh Tinh Nguyên (90g),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd629okwaa7be,https://shopee.vn/Muối-Tiêu-Lá-Chanh-Tây-Ninh-Tinh-Nguyên-(90g)-i.191855774.3628660299?extraParams=%7B%22display_model_id%22%3A72102592391%2C%22model_selection_logic%22%3A3%7D
39,TINH NGUYÊN,Tỉnh Tây Ninh,https://shopee.vn/search?shop=191855774,Combo 4 Bánh Tráng Siêu Mỏng Tây Ninh Tinh Nguyên (180gx4gói),70.200 ₫,Đặc sản chất lượng - Combo 4 Bánh Tráng Siêu Mỏng Tây Ninh Tinh Nguyên (180gx4gói),https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpd5u3jpsq2z86,https://shopee.vn/Combo-4-Bánh-Tráng-Siêu-Mỏng-Tây-Ninh-Tinh-Nguyên-(180gx4gói)-i.191855774.8375203451?extraParams=%7B%22display_model_id%22%3A93270140699%2C%22model_selection_logic%22%3A3%7D
