STT,Tên Shop,Địa Chỉ Shop,Link Website / Link Shop,Tên Sản Phẩm,Tên Sản Phẩm (Tiếng Anh),Giá Cả,Mô Tả Sản Phẩm,Mô Tả Sản Phẩm (Tiếng Anh),Tag,Category,Link Hình Ảnh
11,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Cốc uống nước Bát  Tràng,Mug/Bowl,64000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Cốc uống nước Bát  Tràng.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Mug/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_202205112122_13759.jpg
12,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ly sứ mầu đen,Porcelain (Ceramic Mug),64000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ly sứ mầu đen.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Porcelain (Ceramic Mug).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20220511151519_72541.jpg
13,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Cốc uống nước văn phòng,Mug,48000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Cốc uống nước văn phòng.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Mug.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20220511123026_13712.jpg
14,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ly sứ trắng bầu thấp APPETITO,Porcelain (Ceramic Mug),40000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ly sứ trắng bầu thấp APPETITO.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Porcelain (Ceramic Mug).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Ly-su-trang-bau-thap-appetito.gif
15,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ly sứ trắng trụ giọt nước,Porcelain (Ceramic Mug),42000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ly sứ trắng trụ giọt nước.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Porcelain (Ceramic Mug).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Ly-su-trang-tru-giot-nuoc.gif
16,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ly sứ trắng trụ You’ve been energized,Porcelain (Ceramic Mug),42000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ly sứ trắng trụ You’ve been energized.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Porcelain (Ceramic Mug).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Ly-su-trang-tru-You’ve-been-energized.gif
17,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Quà tặng gốm sứ Bát Tràng,Bat Trang Ceramic/Pottery/Porcelain Bowl (Gift Set),168000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Quà tặng gốm sứ Bát Tràng.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Ceramic/Pottery/Porcelain Bowl (Gift Set).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210904171341_13816.jpg
18,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,"LOGO GỐM SỨ BÁT TRÀNG, IN ẤM CHÉN QUÀ TẶNG",Bat Trang Ceramic/Pottery/Porcelain Tea Set/Cup/Bowl (Gift Set),208000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: LOGO GỐM SỨ BÁT TRÀNG, IN ẤM CHÉN QUÀ TẶNG.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Ceramic/Pottery/Porcelain Tea Set/Cup/Bowl (Gift Set).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210903163946_70295.jpg
19,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,In logo lên ấm chén Bát Tràng men trắng cao cấp,Premium Bat Trang Tea Set/Cup/Bowl (Logo Printed),160000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: In logo lên ấm chén Bát Tràng men trắng cao cấp.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Premium Bat Trang Tea Set/Cup/Bowl (Logo Printed).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20201005161617_66093.jpg
20,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ấm chén quà tặng gốm sứ Bát Tràng in logo,"Bat Trang Ceramic/Pottery/Porcelain Tea Set/Cup/Bowl (Gift Set, Logo Printed)",250000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ấm chén quà tặng gốm sứ Bát Tràng in logo.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Ceramic/Pottery/Porcelain Tea Set/Cup/Bowl (Gift Set, Logo Printed).",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20200926223850_54260.jpg
21,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,In chữ lên ấm chén,Tea Set/Cup,260000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: In chữ lên ấm chén.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Tea Set/Cup.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_2in-chu-len-am-chen.jpg
22,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Địa chỉ in chữ lên ấm chén Bát Tràng siêu nét,Bat Trang Tea Set/Cup/Bowl,179100,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Địa chỉ in chữ lên ấm chén Bát Tràng siêu nét.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Tea Set/Cup/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_dia-chi-in-chu-len-am-chen-bat-trang-sieu-net-9.jpg
23,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Địa chỉ mua ấm chén Bát tràng ở Hà Nội uy tín giá rẻ,Bat Trang Tea Set/Cup/Bowl,190000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Địa chỉ mua ấm chén Bát tràng ở Hà Nội uy tín giá rẻ.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Tea Set/Cup/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_dia-chi-mua-am-chen-bat-trang-o-ha-noi-uy-tin-gia-re.jpg
24,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ấm chén in logo giá bao nhiêu,Tea Set/Cup (Logo Printed),187000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ấm chén in logo giá bao nhiêu.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Tea Set/Cup (Logo Printed).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_am-chen-in-logo-gia-bao-nhieu.jpg
25,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bình hoa decor tình yêu thiên nga,(Flower Vase),945000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bình hoa decor tình yêu thiên nga.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: (Flower Vase).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210423223144_96027.jpg
26,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,"Bình hoa sen đẹp nhất, giá siêu tốt","(Flower Vase, Elegant) - Lotus Design",540000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bình hoa sen đẹp nhất, giá siêu tốt.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: (Flower Vase, Elegant) - Lotus Design.",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210423214649_43958.jpg
27,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,"Bình hoa trang trí cầu thang sang trọng, đẹp","(Flower Vase, Elegant)",150000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bình hoa trang trí cầu thang sang trọng, đẹp.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: (Flower Vase, Elegant).",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210423202929_85078.jpg
28,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Lọ hoa tròn ngắn khảm sen,Vase (Inlaid),405000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Lọ hoa tròn ngắn khảm sen.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Vase (Inlaid).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_2021042002729_24587.jpg
29,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Các kiểu lọ hoa đẹp dáng chân loe,Vase (Elegant),405000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Các kiểu lọ hoa đẹp dáng chân loe.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Vase (Elegant).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_2021041923581_53908.jpg
30,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Lọ hoa để bàn phòng khách tinh tế,Vase,540000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Lọ hoa để bàn phòng khách tinh tế.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Vase.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_2021041923141_65175.jpg
31,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,"Bình hoa để phòng khách sang trọng, đẳng cấp",(Flower Vase),150000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bình hoa để phòng khách sang trọng, đẳng cấp.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: (Flower Vase).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_202104190458_05931.jpg
32,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,"Bình hoa to, chất lượng dáng đùi dế khảm sen","(Flower Vase, Inlaid)",540000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bình hoa to, chất lượng dáng đùi dế khảm sen.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: (Flower Vase, Inlaid).",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210418231752_40062.jpg
33,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Giá lọ lục bình bát tràng rẻ nhất,Bat Trang Bowl (Decorative Vase),12000000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Giá lọ lục bình bát tràng rẻ nhất.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Bowl (Decorative Vase).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Gia-lo-luc-binh-bat-trang-re-nhat.gif
34,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Lọ lục bình để bàn thờ siêu đẹp,"(Decorative Vase, Elegant)",12000000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Lọ lục bình để bàn thờ siêu đẹp.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: (Decorative Vase, Elegant).",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Lo-luc-binh-de-ban-tho-sieu-dep.gif
35,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Lọ lục bình bát tràng giá rẻ nhất,Bat Trang Bowl (Decorative Vase),12000000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Lọ lục bình bát tràng giá rẻ nhất.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Bowl (Decorative Vase).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Lo-loc-binh-bat-trang-gia-re-nhat.gif
36,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ý nghĩa lọ lục bình tứ cảnh men rạn đắp kĩ vạn người mê,(Decorative Vase) - Crackle Glaze,15000000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ý nghĩa lọ lục bình tứ cảnh men rạn đắp kĩ vạn người mê.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: (Decorative Vase) - Crackle Glaze.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Y-nghia-lo-loc-binh-tu-canh-men-ran-dap-ki-van-nguoi-me.gif
37,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Lọ lục bình gốm sứ cao cấp cuốn thư sơn thủy men rạn hàng kĩ,Premium Ceramic/Pottery/Porcelain (Decorative Vase) - Crackle Glaze,12000000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Lọ lục bình gốm sứ cao cấp cuốn thư sơn thủy men rạn hàng kĩ.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Premium Ceramic/Pottery/Porcelain (Decorative Vase) - Crackle Glaze.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgnews/Thumb_Lo-luc-binh-gom-su-cao-cap-cuon-thu-son-thuy-hang-ki.gif
38,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ bát đĩa quà tặng vẽ hoa sen,Plate/Bowl (Gift Set) - Lotus Design,1640000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ bát đĩa quà tặng vẽ hoa sen.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Plate/Bowl (Gift Set) - Lotus Design.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20250108235449_15050.jpg
39,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ chén đĩa Bát Tràng cao cấp,Premium Bat Trang Cup/Plate/Bowl/Tableware Set,1640000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ chén đĩa Bát Tràng cao cấp.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Premium Bat Trang Cup/Plate/Bowl/Tableware Set.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20241114175523_98960.jpg
40,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ bát ăn cơm sang trọng,Bowl,1751000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ bát ăn cơm sang trọng.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_2024110517314_84892.jpg
41,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ bát đĩa men hỏa biến phong thủy cao cấp,Premium Plate/Bowl - Flambé Glaze,2000000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ bát đĩa men hỏa biến phong thủy cao cấp.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Premium Plate/Bowl - Flambé Glaze.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_202410201085_00939.jpg
42,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Top 1 bộ bát đĩa bán chạy nhất - Review chi tiết,Plate/Bowl,2299000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Top 1 bộ bát đĩa bán chạy nhất - Review chi tiết.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Plate/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20240910225418_84650.jpg
43,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bát đĩa Bát Tràng giá sỉ,Bat Trang Plate/Bowl,2250000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bát đĩa Bát Tràng giá sỉ.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Plate/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20240909222940_93010.jpg
44,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ đồ ăn cơm Bát Tràng,Bat Trang Bowl,2299000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ đồ ăn cơm Bát Tràng.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20240904233712_87644.png
45,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ bát đĩa cao cấp giá rẻ nhất,Premium Plate/Bowl,2301000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ bát đĩa cao cấp giá rẻ nhất.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Premium Plate/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20240827212154_79636.jpg
